1,33
2,5
3,14
4,8
5,5
6,22
7,39
8,44
9,10
10,44
11,11
12,23
13,48
14,5
15,3
16,24
17,36
18,6
19,5
20,38
21,10
22,26
23,10
24,21
25,39
26,5
27,34
28,26
29,45
30,36
31,15
32,29
33,44
34,36
35,50
36,34
37,43
38,44
39,47
40,34
41,40
42,10
43,7
44,18
45,19
46,23
47,41
48,43
49,37
50,1
51,47
52,39
53,33
54,33
55,33
56,32
57,37
58,5
59,43
60,36
61,44
62,3
63,10
64,12
65,43
66,7
67,22
68,28
69,10
70,41
71,4
72,44
73,7
74,5
75,50
76,5
77,39
78,19
79,5
80,16
81,33
82,15
83,13
84,49
85,18
86,5
87,36
88,41
89,22
90,1
91,48
92,17
93,25
94,6
95,36
96,36
97,34
98,20
99,15
100,10
101,45
102,19
103,1
104,5
105,10
106,29
107,11
108,39
109,45
110,10
111,34
112,23
113,26
114,39
115,23
116,34
117,11
118,44
119,43
120,11
121,5
122,4
123,16
124,34
125,10
126,41
127,19
128,14
129,39
130,44
131,10
132,5
133,5
134,5
135,44
136,16
137,23
138,11
139,14
140,39
141,34
142,44
143,36
144,30
145,10
146,50
147,38
148,2
149,23
150,21
151,25
152,1
153,31
154,39
155,49
156,50
157,38
158,23
159,10
160,10
161,10
162,28
163,44
164,14
165,41
166,15
167,6
168,47
169,43
170,34
171,50
172,6
173,33
174,44
175,38
176,44
177,4
178,44
179,24
180,31
181,5
182,43
183,7
184,48
185,5
186,44
187,39
188,6
189,34
190,5
191,44
192,48
193,44
194,21
195,47
196,48
197,19
198,1
199,24
200,33
201,10
202,47
203,48
204,5
205,15
206,35
207,42
208,39
209,17
210,44
211,14
212,1
213,13
214,14
215,47
216,5
217,36
218,34
219,26
220,39
221,36
222,22
223,18
224,32
225,46
226,3
227,19
228,15
229,50
230,6
231,26
232,41
233,48
234,3
235,19
236,3
237,15
238,11
239,34
240,50
241,41
242,49
243,1
244,24
245,33
246,10
247,11
248,11
249,34
250,16
251,38
252,33
253,47
254,5
255,15
256,23
257,39
258,50
259,16
260,5
261,9
262,4
263,44
264,42
265,27
266,10
267,50
268,23
269,12
270,16
271,31
272,11
273,39
274,23
275,19
276,1
277,49
278,34
279,20
280,5
281,33
282,5
283,39
284,23
285,44
286,18
287,26
288,44
289,6
290,1
291,1
292,25
293,49
294,32
295,45
296,11
297,44
298,11
299,13
300,10
301,10
302,5
303,36
304,26
305,3
306,17
307,50
308,39
309,23
310,37
311,3
312,47
313,43
314,4
315,22
316,32
317,33
318,45
319,26
320,39
321,14
322,49
323,34
324,24
325,19
326,49
327,44
328,11
329,33
330,35
331,15
332,47
333,38
334,44
335,48
336,43
337,15
338,1
339,18
340,50
341,43
342,44
343,11
344,14
345,48
346,17
347,15
348,27
349,14
350,21
351,41
352,20
353,23
354,1
355,48
356,21
357,50
358,10
359,39
360,2
361,35
362,10
363,4
364,31
365,16
366,51
367,16
368,38
369,23
370,13
371,28
372,38
373,27
374,11
375,14
376,15
377,51
378,48
379,13
380,29
